Date,Week,Country,CTR (%),Clicks,Impressions,Avg Position,Trend,Notes
2026-07-04,Week 1,IN,2.5,15,600,52.1,BASELINE,"Initial measurement - hreflang just deployed"
2026-07-04,Week 1,US,1.8,10,556,61.2,BASELINE,"Initial measurement - hreflang just deployed"
2026-07-04,Week 1,GB,1.5,5,333,65.4,BASELINE,"Initial measurement - hreflang just deployed"
2026-07-04,Week 1,AU,0.9,2,222,72.5,BASELINE,"Initial measurement - hreflang just deployed"
2026-07-04,Week 1,CA,1.2,3,250,68.3,BASELINE,"Initial measurement - hreflang just deployed"
2026-07-11,Week 2,IN,3.2,18,563,48.5,UP,"Hreflang indexed - expect gradual climb"
2026-07-11,Week 2,US,2.4,14,583,57.8,UP,"Hreflang indexed - expect gradual climb"
2026-07-11,Week 2,GB,2.0,7,350,62.1,UP,"Hreflang indexed - expect gradual climb"
2026-07-11,Week 2,AU,1.3,3,231,69.3,UP,"Hreflang indexed - expect gradual climb"
2026-07-11,Week 2,CA,1.7,4,235,65.1,UP,"Hreflang indexed - expect gradual climb"
2026-07-18,Week 3,IN,4.1,25,610,45.2,UP,"Steady improvement - VPN article ranking better"
2026-07-18,Week 3,US,3.0,16,533,54.6,UP,"Steady improvement - DNS article getting impressions"
2026-07-18,Week 3,GB,2.6,8,308,58.9,UP,"Steady improvement"
2026-07-18,Week 3,AU,1.8,4,222,67.1,UP,"Steady improvement"
2026-07-18,Week 3,CA,2.2,5,227,63.4,UP,"Steady improvement"
2026-07-25,Week 4,IN,5.2,35,673,40.8,UP,"Strong growth - consider India-specific optimizations"
2026-07-25,Week 4,US,3.8,18,474,50.2,UP,"Growing - plan US content next"
2026-07-25,Week 4,GB,3.2,9,281,55.7,UP,"Growing steadily"
2026-07-25,Week 4,AU,2.3,5,217,64.9,UP,"Growing steadily"
2026-07-25,Week 4,CA,2.9,6,207,61.2,UP,"Growing steadily"
